id,mri,tags,data,nsubj,nscan,si
Roura2015,"T1, FLAIR","Unsupervised, Mixture Model, Outlier, Threshold, SPM, FSL, N3/4","Private, Vascular",20,2,0.34
Yoo2014,FLAIR,"Supervised, Regression, Threshold, SPM","Private, Vascular",32,2,0.76
Harmouche2015,"T1, T2, PD, FLAIR","Unsupervised, Mixture Model, MRF, Tissue Prior, N3/4","Private, MS",100,35,0.56
Samaille2012,"T1, FLAIR","Unsupervised, Edge, Threshold","Private, Dementia, Vascular",67,6,0.72
Fartaria2015,FLAIR,"Supervised, K-NN, Tissue Prior, N3/4","Private, MS",39,1,0.55
Knight2016a,FLAIR,"Unsupervised, Edge, Threshold","Challenge, MS 2016, MS",15,3,0.7
Anbeek2004,"T1, T2, PD, FLAIR, IR","Supervised, K-NN","Private, Vascular",20,1,0.61
Anbeek2005,"T1, T2, PD, FLAIR, IR","Supervised, K-NN","Private, Vascular",10,1,0.78
Garcia-Lorenzo2011,"T1, T2, FLAIR","Unsupervised, Mixture Model, Outlier","Private, MS",10,1,0.65
Geremia2011,"T1, T2, FLAIR","Supervised, Trees","Challenge, MS 2008, Private, MS",20,2,
Valverde2016,"T1, FLAIR","Unsupervised, FCM, Tissue Prior, SPM, N3/4","Private, Challenge, MRBrainS 2013, MS, Vascular",33,2,
VanLeemput2001,"T1, T2, PD","Unsupervised, Mixture Model, Outlier, Bias, Corr, MRF","Private, MS",20,1,0.51
Smart2011,"T1, FLAIR","Unsupervised, Threshold, SPM","Private, Dementia",30,1,
Lao2006,"T1, T2, PD, FLAIR","Supervised, SVM","Private, ACCORD-MIND, Vascular, Diabetes",45,1,
Khayati2008,FLAIR,"Unsupervised, Mixture Model, MRF","Private, MS",20,1,0.75
Dadar2017,"T1, FLAIR","Supervised, Regression, Threshold, Tissue Prior, N3/4","Private, Dementia",80,3,0.62
Brosch2015,"T1, T2, FLAIR","Supervised, Neural Net, Patch","Challenge, MS 2008, MS",20,2,0.36
Khademi2014,FLAIR,"Unsupervised, Edge, Threshold","Private, Dementia, Vascular",25,1,0.78
Wels2008,"T1, T2, FLAIR","Supervised, Trees, Texture","Private, MS",6,1,0.57
Guizard2015,"T1, T2, PD, FLAIR","Supervised, Non-Local Mean, Patch, N3/4","Private, Challenge, MS 2008, MS",108,32,0.6
Wu2006,"T1, T2, PD","Supervised, K-NN, Tissue Prior","Private, MS",12,1,
Schmidt2012,"T1, FLAIR","Unsupervised, Mixture Model, MRF, Threshold, SPM","Private, MS",53,1,0.75
Herskovits2008,"T1, T2, PD, FLAIR","Supervised, Mixture Model, MRF, FSL","Private, ACCORD-MIND, Vascular, Diabetes",42,2,0.6
